nemo,run,serie,tipoentidad,row,nombre_cmf
CFIVIE4A-E,10636,A,FINRE,AAAw+cAAhAABQK7AAl,VOLCOMCAPITAL INFRAESTRUCTURA IV FONDO DE INVERSION
CFIVIE4C-E,10636,C,FINRE,AAAw+cAAhAABQK7AAl,VOLCOMCAPITAL INFRAESTRUCTURA IV FONDO DE INVERSION
CFIVIE4D-E,10636,D,FINRE,AAAw+cAAhAABQK7AAl,VOLCOMCAPITAL INFRAESTRUCTURA IV FONDO DE INVERSION
CFIANXIA-E,9506,A,FINRE,AAAw+cAAhAABP4RAAW,AMERIS PRIVATE EQUITY NORDIC IX FONDO DE INVERSIÓN
CFIANXIB-E,9506,A,FINRE,AAAw+cAAhAABP4RAAW,AMERIS PRIVATE EQUITY NORDIC IX FONDO DE INVERSIÓN
CFIANXII-E,9506,I,FINRE,AAAw+cAAhAABP4RAAW,AMERIS PRIVATE EQUITY NORDIC IX FONDO DE INVERSIÓN
CFIANXIX-E,9506,X,FINRE,AAAw+cAAhAABP4RAAW,AMERIS PRIVATE EQUITY NORDIC IX FONDO DE INVERSIÓN
CFICCSII-E,9170,UNICA,FINRE,AAAw+cAAhAABP4OAAd,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG SECONDARIES II
CFICCPGF-E,9185,E,FINRE,AAAw+cAAhAABP4LAAh,FONDO DE INVERSIÓN CREDICORP CAPITAL PRIVATE EQUITY – PG SECONDARIES II FULLY FUNDED
CFIPE10A-E,10443,A,FINRE,AAAw+cAAhAABQK7AAE,VOLCOMCAPITAL PRIVATE EQUITY X FONDO DE INVERSIÓN
CFIPE10B-E,10443,B,FINRE,AAAw+cAAhAABQK7AAE,VOLCOMCAPITAL PRIVATE EQUITY X FONDO DE INVERSIÓN
CFIPE10C-E,10443,C,FINRE,AAAw+cAAhAABQK7AAE,VOLCOMCAPITAL PRIVATE EQUITY X FONDO DE INVERSIÓN
CFIBGAIA-E,10106,A,FINRE,AAAw+cAAhAABQKCAAf,BICE GAIP FONDO DE INVERSIÓN
CFIBGAII-E,10106,I,FINRE,AAAw+cAAhAABQKCAAf,BICE GAIP FONDO DE INVERSIÓN
CFIPE17A-E,9416,A,FINRE,AAAw+cAAhAABP4KAAK,COMPASS PRIVATE EQUITY XVII FONDO DE INVERSION
CFIXMIXA-E,10637,A,FINRE,AAAw+cAAhAABQK6AAg,XLC ACTIVOS I FONDO DE INVERSIÓN
CFIXMIXB-E,10637,A,FINRE,AAAw+cAAhAABQK6AAg,XLC ACTIVOS I FONDO DE INVERSIÓN
CFIXMIXC-E,10637,A,FINRE,AAAw+cAAhAABQK6AAg,XLC ACTIVOS I FONDO DE INVERSIÓN
CFIXACTB-E,10715,A,FINRE,AAAw+cAAhAABQK7AAv,XLC ACTIVOS II FONDO DE INVERSIÓN
CFIXACTC-E,10715,A,FINRE,AAAw+cAAhAABQK7AAv,XLC ACTIVOS II FONDO DE INVERSIÓN
CFIBALTK,9969,K,FINRE,AAAw+cAAhAABQKAAAP,BICE ALTERNATIVOS FONDO DE INVERSION
CFIBALTR,9969,R,FINRE,AAAw+cAAhAABQKAAAP,BICE ALTERNATIVOS FONDO DE INVERSION
CFIBALTX,9969,X,FINRE,AAAw+cAAhAABQKAAAP,BICE ALTERNATIVOS FONDO DE INVERSION
CFIAFOGANI,10643,NI,FINRE,AAAw+cAAhAABQK6AAh,AMERIS DEUDA PRIVADA CON GARANTÍA FOGAPE FONDO DE INVERSIÓN
CFIAFOGANX,10643,NX,FINRE,AAAw+cAAhAABQK6AAh,AMERIS DEUDA PRIVADA CON GARANTÍA FOGAPE FONDO DE INVERSIÓN
CFILVHVI-E,7196,A,FINRE,AAAw+cAAhAABP4CAA2,FONDO DE INVERSION LARRAIN VIAL HARBOURVEST EX-US
CFILAPA-E,9998,A,FINRE,AAAw+cAAhAABQKFAAP,VINCI COMPASS LAPCO FONDO DE INVERSIÓN
CFILAPB-E,9998,B,FINRE,AAAw+cAAhAABQKFAAP,VINCI COMPASS LAPCO FONDO DE INVERSIÓN
CFILAPC-E,9998,C,FINRE,AAAw+cAAhAABQKFAAP,VINCI COMPASS LAPCO FONDO DE INVERSIÓN
CFILAPD-E,9998,D,FINRE,AAAw+cAAhAABQKFAAP,VINCI COMPASS LAPCO FONDO DE INVERSIÓN
CFILAPI-E,9998,I,FINRE,AAAw+cAAhAABQKFAAP,VINCI COMPASS LAPCO FONDO DE INVERSIÓN
"CFIBPDCCHP
    No Inscrita",7184,A,FIRES,AAAw+cAAhAABP4CAA6,BTG PACTUAL DEUDA CORPORATIVA CHILE FONDO DE INVERSION
CFIAFE3F,9219,A,FINRE,AAAw+cAAhAABP4MAAs,FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO ESTRUCTURADO
CFIBPMAA-E,10496,A,FIRES,AAAw+cAAhAABQK/AAJ,BTG PACTUAL MÉXICO ALPHA FONDO DE INVERSIÓN
CFIBPMAI-E,10496,I,FIRES,AAAw+cAAhAABQK/AAJ,BTG PACTUAL MÉXICO ALPHA FONDO DE INVERSIÓN
CFIBPMAM-E,10496,M,FIRES,AAAw+cAAhAABQK/AAJ,BTG PACTUAL MÉXICO ALPHA FONDO DE INVERSIÓN
CFIMC14A-E,9901,A,FINRE,AAAw+cAAhAABQKDAAD,MONEDA ALPINVEST CO-INVESTMENT FUND VIII FONDO DE INVERSIÓN
CFIMC14B-E,9901,B,FINRE,AAAw+cAAhAABQKDAAD,MONEDA ALPINVEST CO-INVESTMENT FUND VIII FONDO DE INVERSIÓN
CFIMC14I-E,9901,I,FINRE,AAAw+cAAhAABQKDAAD,MONEDA ALPINVEST CO-INVESTMENT FUND VIII FONDO DE INVERSIÓN
CFIM14AE-E,9901,AE,FINRE,AAAw+cAAhAABQKDAAD,MONEDA ALPINVEST CO-INVESTMENT FUND VIII FONDO DE INVERSIÓN
CFIMBD4A-E,10683,A,FINRE,AAAw+cAAhAABQK9AAk,MBI DEUDA PRIVADA IV FONDO DE INVERSIÓN
CFIMBD4C-E,10683,C,FINRE,AAAw+cAAhAABQK9AAk,MBI DEUDA PRIVADA IV FONDO DE INVERSIÓN
CFIMBD4I-E,10683,I,FINRE,AAAw+cAAhAABQK9AAk,MBI DEUDA PRIVADA IV FONDO DE INVERSIÓN
CFIPE15C-E,9307,C,FINRE,AAAw+cAAhAABP4NAA0,COMPASS PRIVATE EQUITY XV FONDO DE INVERSION
CFIAMSLPA,9919,A,FIRES,AAAw+cAAhAABQKBAAC,AMERIS AATECH FINANCIAMIENTO CORTO PLAZO FONDO DE INVERSIÓN
CFIAMSLPI,9919,A,FIRES,AAAw+cAAhAABQKBAAC,AMERIS AATECH FINANCIAMIENTO CORTO PLAZO FONDO DE INVERSIÓN
CFIAMSLPX,9919,A,FIRES,AAAw+cAAhAABQKBAAC,AMERIS AATECH FINANCIAMIENTO CORTO PLAZO FONDO DE INVERSIÓN
CFIAATHFCP,9919,AATECH,FIRES,AAAw+cAAhAABQKBAAC,AMERIS AATECH FINANCIAMIENTO CORTO PLAZO FONDO DE INVERSIÓN
CFILVADV-E,7239,A,FINRE,AAAw+cAAhAABP4CAAu,FONDO DE INVERSION LARRAIN VIAL DOVER
CFILVFA-L,9306,L,FIRES,AAAw+cAAhAABP4PAAz,FONDO DE INVERSIÓN LARRAINVIAL FACTURAS Y FINANCIAMIENTO DE CORTO PLAZO
CFILCAPX-E,9781,A,FINRE,AAAw+cAAhAABP4TAAs,FONDO DE INVERSIÓN LINK – AP X
CFIEARFCHA,9476,A,FIRES,AAAw+cAAhAABP4LAAT,FONDO DE INVERSIÓN ZURICH RENTA FIJA CHILE INDEX FUND
