nemo,run,serie,tipoentidad,row,nombre_cmf
CFICSP8B-E,9681,B,FINRE,AAAw+cAAhAABP4UAAX,COMPASS SP VIII PRIVATE EQUITY FONDO DE INVERSION
CFICSP8C-E,9681,C,FINRE,AAAw+cAAhAABP4UAAX,COMPASS SP VIII PRIVATE EQUITY FONDO DE INVERSION
CFICSP8I-E,9681,I,FINRE,AAAw+cAAhAABP4UAAX,COMPASS SP VIII PRIVATE EQUITY FONDO DE INVERSION
CFICSP8R-E,9681,R,FINRE,AAAw+cAAhAABP4UAAX,COMPASS SP VIII PRIVATE EQUITY FONDO DE INVERSION
CFINHCIP-E,7244,I,FINRE,AAAw+cAAhAABP4DAAB,FONDO DE INVERSION HMC CIP VI
CFIPKRA4-E,9880,UNICA,FINRE,AAAw+cAAhAABP4VAA+,PICTON - KKR ASIA IV FONDO DE INVERSIÓN
CFISECPA-E,9724,A,FINRE,AAAw+cAAhAABP4XAAk,FONDO DE INVERSIÓN SECURITY PANTHEON PGCO IV
CFISECPC-E,9724,C,FINRE,AAAw+cAAhAABP4XAAk,FONDO DE INVERSIÓN SECURITY PANTHEON PGCO IV
CFISECPD-E,9724,D,FINRE,AAAw+cAAhAABP4XAAk,FONDO DE INVERSIÓN SECURITY PANTHEON PGCO IV
CFIPKRA3-E,9424,UNICA,FINRE,AAAw+cAAhAABP4RAAF,PICTON-KKR ASIA III FONDO DE INVERSION
CFIPES4A-E,10248,A,FINRE,AAAw+cAAhAABQKBAAu,VOLCOMCAPITAL PE SECONDARY IV FONDO DE INVERSIÓN
CFIPES4B-E,10248,B,FINRE,AAAw+cAAhAABQKBAAu,VOLCOMCAPITAL PE SECONDARY IV FONDO DE INVERSIÓN
CFIPES4C-E,10248,C,FINRE,AAAw+cAAhAABQKBAAu,VOLCOMCAPITAL PE SECONDARY IV FONDO DE INVERSIÓN
CFIPE16A-E,9357,A,FINRE,AAAw+cAAhAABP4KAA+,COMPASS PRIVATE EQUITY XVI FONDO DE INVERSION
CFIPE16B-E,9357,B,FINRE,AAAw+cAAhAABP4KAA+,COMPASS PRIVATE EQUITY XVI FONDO DE INVERSION
CFIPE16C-E,9357,C,FINRE,AAAw+cAAhAABP4KAA+,COMPASS PRIVATE EQUITY XVI FONDO DE INVERSION
CFIPAP8E-E,7279,E,FINRE,AAAw+cAAhAABP4JAAM,PICTON - APOLLO VIII FONDO DE INVERSION
CFIPICAP-E,7279,N,FINRE,AAAw+cAAhAABP4JAAM,PICTON - APOLLO VIII FONDO DE INVERSION
CFIPTP8A-E,9637,A,FINRE,AAAw+cAAhAABP4WAAN,PICTON – TPG VIII FONDO DE INVERSIÓN
CFIPTP8I-E,9637,I,FINRE,AAAw+cAAhAABP4WAAN,PICTON – TPG VIII FONDO DE INVERSIÓN
CFIBTGRE,9815,UNICA,FIRES,AAAw+cAAhAABP4TAAy,BTG PACTUAL RETORNO ESTRATÉGICO FONDO DE INVERSIÓN
CFIMBDPA-E,10252,A,FINRE,AAAw+cAAhAABQKHAAv,MBI DEUDA PRIVADA II FONDO DE INVERSIÓN
CFIMBDPC-E,10252,A,FINRE,AAAw+cAAhAABQKHAAv,MBI DEUDA PRIVADA II FONDO DE INVERSIÓN
CFITDPSI-E,9619,SI,FINRE,AAAw+cAAhAABP4TAAL,TOESCA DEUDA PRIVADA FONDO DE INVERSION
CFIHMCDPGP,9914,A,FIRES,AAAw+cAAhAABQKDAAF,FONDO DE INVERSIÓN HMC DEUDA PRIVADA GLOBAL
CFIHMCDPPA,9804,A,FINRE,AAAw+cAAhAABP4VAAq,FONDO DE INVERSIÓN HMC DEUDA PRIVADA ANDINA
CFIAMDVADA,9958,A,FIRES,AAAw+cAAhAABQKHAAG,COMPASS DVA DEUDA PRIVADA USA FONDO DE INVERSIÓN
CFIAMDVADX,9958,A,FIRES,AAAw+cAAhAABQKHAAG,COMPASS DVA DEUDA PRIVADA USA FONDO DE INVERSIÓN
CFIMERF-E,10121,F,FINRE,AAAw+cAAhAABQKHAAY,FONDO DE INVERSIÓN ACTIVA MERCADO PAGO
CFIPES3A-E,9643,A,FINRE,AAAw+cAAhAABP4WAAP,VOLCOMCAPITAL PE SECONDARY III FONDO DE INVERSIÓN
CFIPES3B-E,9643,B,FINRE,AAAw+cAAhAABP4WAAP,VOLCOMCAPITAL PE SECONDARY III FONDO DE INVERSIÓN
CFIPES3C-E,9643,C,FINRE,AAAw+cAAhAABP4WAAP,VOLCOMCAPITAL PE SECONDARY III FONDO DE INVERSIÓN
CFIPES3D-E,9643,D,FINRE,AAAw+cAAhAABP4WAAP,VOLCOMCAPITAL PE SECONDARY III FONDO DE INVERSIÓN
CFIPES3E-E,9643,E,FINRE,AAAw+cAAhAABP4WAAP,VOLCOMCAPITAL PE SECONDARY III FONDO DE INVERSIÓN
CFIPES3X-E,9643,X,FINRE,AAAw+cAAhAABP4WAAP,VOLCOMCAPITAL PE SECONDARY III FONDO DE INVERSIÓN
CFIPES3Z-E,9643,Z,FINRE,AAAw+cAAhAABP4WAAP,VOLCOMCAPITAL PE SECONDARY III FONDO DE INVERSIÓN
CFIAMDDA-E,9495,A,FINRE,AAAw+cAAhAABP4NAAU,AMERIS DEUDA DIRECTA FONDO DE INVERSION
CFIAMDDC-E,9495,C,FINRE,AAAw+cAAhAABP4NAAU,AMERIS DEUDA DIRECTA FONDO DE INVERSION
CFIAMDDI-E,9495,I,FINRE,AAAw+cAAhAABP4NAAU,AMERIS DEUDA DIRECTA FONDO DE INVERSION
CFIAMDDR-E,9495,R,FINRE,AAAw+cAAhAABP4NAAU,AMERIS DEUDA DIRECTA FONDO DE INVERSION
CFIAMDDX-E,9495,X,FINRE,AAAw+cAAhAABP4NAAU,AMERIS DEUDA DIRECTA FONDO DE INVERSION
CFISEDHA-E,10047,A,FINRE,AAAw+cAAhAABQKDAAO,FONDO DE INVERSION SECURITY DEUDA HABITACIONAL CON SUBSIDIO
CFISEDFO-E,10047,FO,FINRE,AAAw+cAAhAABQKDAAO,FONDO DE INVERSION SECURITY DEUDA HABITACIONAL CON SUBSIDIO
CFISEDFP-E,10047,FP,FINRE,AAAw+cAAhAABQKDAAO,FONDO DE INVERSION SECURITY DEUDA HABITACIONAL CON SUBSIDIO
CFISEDHS-E,10047,S,FINRE,AAAw+cAAhAABQKDAAO,FONDO DE INVERSION SECURITY DEUDA HABITACIONAL CON SUBSIDIO
CFISEDUH-E,10047,UH,FINRE,AAAw+cAAhAABQKDAAO,FONDO DE INVERSION SECURITY DEUDA HABITACIONAL CON SUBSIDIO
CFIBCHDCPA,10557,A,FIRES,AAAw+cAAhAABQK9AAU,FONDO DE INVERSION BANCHILE DEUDA NACIONAL CORTO PLAZO
CFIC2VGLOB,10265,UNICA,FIRES,AAAw+cAAhAABQKAAA2,FONDO DE INVERSIÓN C2V GLOBAL
CFIPEQT8-E,9583,UNICA,FINRE,AAAw+cAAhAABP4WAAF,PICTON-EQT VIII FONDO DE INVERSION
CFIFYNSADA,9559,A,FIRES,AAAw+cAAhAABP4RAA3,FONDO DE INVERSIÓN FYNSA DEUDA CHILE
CFIFYNSADB,9559,B,FIRES,AAAw+cAAhAABP4RAA3,FONDO DE INVERSIÓN FYNSA DEUDA CHILE
CFILVCOR-A,7210,A,FIRES,AAAw+cAAhAABP4IAAe,FONDO DE INVERSIÓN LARRAINVIAL DEUDA CHILE
CFILVCOR-I,7210,I,FIRES,AAAw+cAAhAABP4IAAe,FONDO DE INVERSIÓN LARRAINVIAL DEUDA CHILE
CFILVCOR-M,7210,M,FIRES,AAAw+cAAhAABP4IAAe,FONDO DE INVERSIÓN LARRAINVIAL DEUDA CHILE
CFILVCOR-O,7210,O,FIRES,AAAw+cAAhAABP4IAAe,FONDO DE INVERSIÓN LARRAINVIAL DEUDA CHILE
CFIAMSCPA,9919,A,FIRES,AAAw+cAAhAABQKBAAC,AMERIS AATECH FINANCIAMIENTO CORTO PLAZO FONDO DE INVERSIÓN
CFIAMSLPA,9919,A,FIRES,AAAw+cAAhAABQKBAAC,AMERIS AATECH FINANCIAMIENTO CORTO PLAZO FONDO DE INVERSIÓN
CFIAMSLPI,9919,A,FIRES,AAAw+cAAhAABQKBAAC,AMERIS AATECH FINANCIAMIENTO CORTO PLAZO FONDO DE INVERSIÓN
CFIAMSLPX,9919,A,FIRES,AAAw+cAAhAABQKBAAC,AMERIS AATECH FINANCIAMIENTO CORTO PLAZO FONDO DE INVERSIÓN
CFIHMCRGPC,9769,C,FIRES,AAAw+cAAhAABP4UAAt,FONDO DE INVERSION HMC RENTA GLOBAL PESOS
CFIAMN9A-E,9506,A,FINRE,AAAw+cAAhAABP4RAAW,AMERIS PRIVATE EQUITY NORDIC IX FONDO DE INVERSIÓN
CFIAMN9I-E,9506,I,FINRE,AAAw+cAAhAABP4RAAW,AMERIS PRIVATE EQUITY NORDIC IX FONDO DE INVERSIÓN
CFIAMN9X-E,9506,X,FINRE,AAAw+cAAhAABP4RAAW,AMERIS PRIVATE EQUITY NORDIC IX FONDO DE INVERSIÓN
CFIDLDA-E,7173,A,FIRES,AAAw+cAAhAABP4HABA,BTG PACTUAL DEUDA LATAM DÓLAR FONDO DE INVERSIÓN
CFIBMPEM-E,9661,A,FIRES,AAAw+cAAhAABP4TAAS,FONDO DE INVERSIÓN BANCHILE MARKETPLUS EMERGENTE
CFIBMPEMBC,9661,BCH,FIRES,AAAw+cAAhAABP4TAAS,FONDO DE INVERSIÓN BANCHILE MARKETPLUS EMERGENTE
CFICGGLOEA,9095,A,FIRES,AAAw+cAAhAABP4KAAH,COMPASS GLOBAL EQUITY FONDO DE INVERSION
CFICGGLOEB,9095,B,FIRES,AAAw+cAAhAABP4KAAH,COMPASS GLOBAL EQUITY FONDO DE INVERSION
CFICGGLOEA,9095,CG,FIRES,AAAw+cAAhAABP4KAAH,COMPASS GLOBAL EQUITY FONDO DE INVERSION
CFIPADIA,10546,A,FINRE,AAAw+cAAhAABQK/AAO,FONDO DE INVERSIÓN ACTIVA PAGOS DIGITALES
CFIPADIB-E,10546,B,FINRE,AAAw+cAAhAABQK/AAO,FONDO DE INVERSIÓN ACTIVA PAGOS DIGITALES
CFIPADIF-E,10546,F,FINRE,AAAw+cAAhAABQK/AAO,FONDO DE INVERSIÓN ACTIVA PAGOS DIGITALES
CFIBCHMPUS,9333,A,FIRES,AAAw+cAAhAABP4NAA8,FONDO DE INVERSIÓN BANCHILE MARKETPLUS ESTADOS UNIDOS
CFIBCHMUBH,9333,BCH,FIRES,AAAw+cAAhAABP4NAA8,FONDO DE INVERSIÓN BANCHILE MARKETPLUS ESTADOS UNIDOS
CFIBMPEU-E,9606,A,FIRES,AAAw+cAAhAABP4TAAE,FONDO DE INVERSION BANCHILE MARKETPLUS EUROPA
CFIBMPEBCH,9606,BCH,FIRES,AAAw+cAAhAABP4TAAE,FONDO DE INVERSION BANCHILE MARKETPLUS EUROPA
CFIACOLA-E,10025,A,FINRE,AAAw+cAAhAABQKBAAO,AMERIS FINANCIAMIENTO COLATERALIZADO I FONDO DE INVERSIÓN
CFIACOLX-E,10025,X,FINRE,AAAw+cAAhAABQKBAAO,AMERIS FINANCIAMIENTO COLATERALIZADO I FONDO DE INVERSIÓN
CFICGGCUA,9364,A,FIRES,AAAw+cAAhAABP4PAA6,COMPASS GLOBAL CREDIT USD FONDO DE INVERSION
CFICGGCUB,9364,B,FIRES,AAAw+cAAhAABP4PAA6,COMPASS GLOBAL CREDIT USD FONDO DE INVERSION
CFICGGCUC,9364,C,FIRES,AAAw+cAAhAABP4PAA6,COMPASS GLOBAL CREDIT USD FONDO DE INVERSION
CFICGGCUD,9364,D,FIRES,AAAw+cAAhAABP4PAA6,COMPASS GLOBAL CREDIT USD FONDO DE INVERSION
CFICGGCUE,9364,E,FIRES,AAAw+cAAhAABP4PAA6,COMPASS GLOBAL CREDIT USD FONDO DE INVERSION
CFICGGCUF,9364,F,FIRES,AAAw+cAAhAABP4PAA6,COMPASS GLOBAL CREDIT USD FONDO DE INVERSION
CFIBCHMPGB,9332,A,FIRES,AAAw+cAAhAABP4OAA5,FONDO DE INVERSIÓN BANCHILE MARKETPLUS GLOBAL
CFIBILOG1,10084,UNICA,FINRE,AAAw+cAAhAABQKCAAb,BICE LOGÍSTICA FONDO DE INVERSIÓN
CFICOMDPA,7200,A,FIRES,AAAw+cAAhAABP4CAA7,COMPASS DEUDA PLUS FONDO DE INVERSION
CFICOMDPB,7200,B,FIRES,AAAw+cAAhAABP4CAA7,COMPASS DEUDA PLUS FONDO DE INVERSION
CFICLHUA-E,9764,A,FINRE,AAAw+cAAhAABP4VAAf,VINCI COMPASS LATAM HIGH YIELD USD FONDO DE INVERSIÓN
CFILHUCG-E,9764,A,FINRE,AAAw+cAAhAABP4VAAf,VINCI COMPASS LATAM HIGH YIELD USD FONDO DE INVERSIÓN
CFICLHUE-E,9764,A,FINRE,AAAw+cAAhAABP4VAAf,VINCI COMPASS LATAM HIGH YIELD USD FONDO DE INVERSIÓN
CFICLHUI-E,9764,A,FINRE,AAAw+cAAhAABP4VAAf,VINCI COMPASS LATAM HIGH YIELD USD FONDO DE INVERSIÓN
CFIAMDHY-A,9383,A,FIRES,AAAw+cAAhAABP4PAAC,AMERIS DEUDA CHILE FONDO DE INVERSION
CFIADMEXA,10192,A,FINRE,AAAw+cAAhAABQKCAAq,AMERIS DEUDA LATINOAMERICANA SOSTENIBLE FONDO DE INVERSIÓN
CFIADMEXI,10192,I,FINRE,AAAw+cAAhAABQKCAAq,AMERIS DEUDA LATINOAMERICANA SOSTENIBLE FONDO DE INVERSIÓN
CFIADMEXX,10192,X,FINRE,AAAw+cAAhAABQKCAAq,AMERIS DEUDA LATINOAMERICANA SOSTENIBLE FONDO DE INVERSIÓN
CFIFALCTAC,9194,UNICA,FIRES,AAAw+cAAhAABP4MAAq,FONDO DE INVERSIÓN FALCOM TACTICAL CHILEAN EQUITIES
CFIBTGGBDA,9527,A,FIRES,AAAw+cAAhAABP4RAA4,BTG PACTUAL GLOBAL LEADERS FONDO DE INVERSIÓN
CFIBTGGBDI,9527,A,FIRES,AAAw+cAAhAABP4RAA4,BTG PACTUAL GLOBAL LEADERS FONDO DE INVERSIÓN
CFICGBRA-E,10845,A,FIRES,AAAw+cAAhAABQlSAAC,VINCI COMPASS BRAZIL EQUITY FONDO DE INVERSIÓN
CFICGBRB-E,10845,A,FIRES,AAAw+cAAhAABQlSAAC,VINCI COMPASS BRAZIL EQUITY FONDO DE INVERSIÓN
CFIBTGNB-E,7271,A,FINRE,AAAw+cAAhAABP4IAAx,BTG PACTUAL PRIVATE EQUITY – NB CRXX FONDO DE INVERSION
CFIHCIVI-E,9726,I,FINRE,AAAw+cAAhAABP4UAAi,FONDO DE INVERSIÓN LARRAÍN VIAL HARBOURVEST CO-INVESTMENT V
CFIHCIVP-E,9726,P,FINRE,AAAw+cAAhAABP4UAAi,FONDO DE INVERSIÓN LARRAÍN VIAL HARBOURVEST CO-INVESTMENT V
CFIHCIVR-E,9726,R,FINRE,AAAw+cAAhAABP4UAAi,FONDO DE INVERSIÓN LARRAÍN VIAL HARBOURVEST CO-INVESTMENT V
CFIHCIVS-E,9726,S,FINRE,AAAw+cAAhAABP4UAAi,FONDO DE INVERSIÓN LARRAÍN VIAL HARBOURVEST CO-INVESTMENT V
CFIPE18A-E,9435,A,FINRE,AAAw+cAAhAABP4KAAL,COMPASS PRIVATE EQUITY XVIII FONDO DE INVERSIÓN
CFIPE18B-E,9435,B,FINRE,AAAw+cAAhAABP4KAAL,COMPASS PRIVATE EQUITY XVIII FONDO DE INVERSIÓN
CFIPE18C-E,9435,C,FINRE,AAAw+cAAhAABP4KAAL,COMPASS PRIVATE EQUITY XVIII FONDO DE INVERSIÓN
CFIVIE3B-E,10089,B,FINRE,AAAw+cAAhAABQKFAAa,VOLCOMCAPITAL INFRAESTRUCTURA III FONDO DE INVERSIÓN
CFIVIE3E-E,10089,E,FINRE,AAAw+cAAhAABQKFAAa,VOLCOMCAPITAL INFRAESTRUCTURA III FONDO DE INVERSIÓN
CFISECOA-E,7252,A,FINRE,AAAw+cAAhAABP4IAAZ,FONDO DE INVERSION SECURITY OAKTREE OPPORTUNITIES-DEBT
CFIMBD2A-E,10252,A,FINRE,AAAw+cAAhAABQKHAAv,MBI DEUDA PRIVADA II FONDO DE INVERSIÓN
CFIMBD2I-E,10252,I,FINRE,AAAw+cAAhAABQKHAAv,MBI DEUDA PRIVADA II FONDO DE INVERSIÓN
CFIMRVEA,9676,A,FIRES,AAAw+cAAhAABP4VAAP,MONEDA RENTA VARIABLE EMERGENTE FONDO DE INVERSIÓN
CFIMRVEB,9676,B,FIRES,AAAw+cAAhAABP4VAAP,MONEDA RENTA VARIABLE EMERGENTE FONDO DE INVERSIÓN
CFIMRVEC,9676,C,FIRES,AAAw+cAAhAABP4VAAP,MONEDA RENTA VARIABLE EMERGENTE FONDO DE INVERSIÓN
CFISANDCHA,9348,A,FIRES,AAAw+cAAhAABP4OAAA,FONDO DE INVERSION SANTANDER DEUDA CORPORATIVA CHILE
CFISANRVGA,8822,ALTOPATRIM,RGFMU,AAAw+cAAhAABPt+AA2,FONDO MUTUO SCOTIA RENTA VARIABLE GLOBAL
CFICGPEP-E,7202,A,FINRE,AAAw+cAAhAABP4CAAj,FONDO DE INVERSION COMPASS PRIVATE EQUITY PARTNERS
CFIVSS3B-E,9645,B,FINRE,AAAw+cAAhAABP4WAAR,VOLCOMCAPITAL SPECIAL SITUATIONS III FONDO DE INVERSIÓN
CFIVSS3C-E,9645,C,FINRE,AAAw+cAAhAABP4WAAR,VOLCOMCAPITAL SPECIAL SITUATIONS III FONDO DE INVERSIÓN
CFIBGCOA-E,9627,A,FINRE,AAAw+cAAhAABP4VAAF,BICE GLOBAL CREDIT OPPORTUNITIES FONDO DE INVERSION
CFIBGCOI-E,9627,I,FINRE,AAAw+cAAhAABP4VAAF,BICE GLOBAL CREDIT OPPORTUNITIES FONDO DE INVERSION
CFIBSC1A-E,9722,A,FINRE,AAAw+cAAhAABP4UAAg,BICE STEPSTONE SCLE I FONDO DE INVERSION
CFIBSC1I-E,9722,I,FINRE,AAAw+cAAhAABP4UAAg,BICE STEPSTONE SCLE I FONDO DE INVERSION
CFIBSC1X-E,9722,X,FINRE,AAAw+cAAhAABP4UAAg,BICE STEPSTONE SCLE I FONDO DE INVERSION
CFI-MAL2AE,9614,A,FIRES,AAAw+cAAhAABP4WAAL,MONEDA ALTURAS II FONDO DE INVERSIÓN
CFI-MAL2BE,9614,B,FIRES,AAAw+cAAhAABP4WAAL,MONEDA ALTURAS II FONDO DE INVERSIÓN
CFI-MAL2CE,9614,C,FIRES,AAAw+cAAhAABP4WAAL,MONEDA ALTURAS II FONDO DE INVERSIÓN
CFIVPE4A-E,9441,A,FINRE,AAAw+cAAhAABP4RAAJ,VOLCOMCAPITAL PRIVATE EQUITY IV FONDO DE INVERSION
CFIVPE4B-E,9441,B,FINRE,AAAw+cAAhAABP4RAAJ,VOLCOMCAPITAL PRIVATE EQUITY IV FONDO DE INVERSION
CFIVPE4C-E,9441,C,FINRE,AAAw+cAAhAABP4RAAJ,VOLCOMCAPITAL PRIVATE EQUITY IV FONDO DE INVERSION
CFIVPE4D-E,9441,D,FINRE,AAAw+cAAhAABP4RAAJ,VOLCOMCAPITAL PRIVATE EQUITY IV FONDO DE INVERSION
CFIVPE4E-E,9441,E,FINRE,AAAw+cAAhAABP4RAAJ,VOLCOMCAPITAL PRIVATE EQUITY IV FONDO DE INVERSION
CFIBGC2A-E,10156,A,FINRE,AAAw+cAAhAABQKHAAe,BICE GLOBAL CREDIT OPPORTUNITIES II FONDO DE INVERSIÓN
CFIBGC2I-E,10156,I,FINRE,AAAw+cAAhAABQKHAAe,BICE GLOBAL CREDIT OPPORTUNITIES II FONDO DE INVERSIÓN
CFICPE2,7179,A,FINRE,AAAw+cAAhAABP4IAAE,BTG PACTUAL PRIVATE EQUITY - KKR FONDO DE INVERSION
CFIFTDMA-E,9711,A,FINRE,AAAw+cAAhAABP4TAAb,FRONTAL TRUST DEUDA PRIVADA MIXTA FONDO DE INVERSIÓN
CFIFTDMI-E,9711,I,FINRE,AAAw+cAAhAABP4TAAb,FRONTAL TRUST DEUDA PRIVADA MIXTA FONDO DE INVERSIÓN
CFITODPS-E,9619,S,FINRE,AAAw+cAAhAABP4TAAL,TOESCA DEUDA PRIVADA FONDO DE INVERSION
CFICGSCH-A,7031,A,FINRE,AAAw+cAAhAABP4BAA3,COMPASS SMALL CAP CHILE FONDO DE INVERSION
CFICGSCH-B,7031,B,FINRE,AAAw+cAAhAABP4BAA3,COMPASS SMALL CAP CHILE FONDO DE INVERSION
CFICGSCH-I,7031,I,FINRE,AAAw+cAAhAABP4BAA3,COMPASS SMALL CAP CHILE FONDO DE INVERSION
CFIBAGNA-E,9842,A,FINRE,AAAw+cAAhAABP4VAAy,FONDO DE INVERSION AG DIRECT LENDING IV
CFIBAGP1-E,9842,P1,FINRE,AAAw+cAAhAABP4VAAy,FONDO DE INVERSION AG DIRECT LENDING IV
CFIBAGP2-E,9842,P2,FINRE,AAAw+cAAhAABP4VAAy,FONDO DE INVERSION AG DIRECT LENDING IV
CFICCVFV-E,10516,FV,FINRE,AAAw+cAAhAABQK7AAP,FONDO DE INVERSIÓN CORCOVADO DEUDA PRIVADA
CFIBREPI-E,10144,I,FINRE,AAAw+cAAhAABQKDAAZ,FONDO DE INVERSION SINGULAR BROOKFIELD BSREP IV
CFIMRFIIGA,9268,SERIE-A,FIRES,AAAw+cAAhAABP4LAAu,MONEDA RENTA FIJA INTERNACIONAL FONDO DE INVERSIÓN
CFIMRFIIGB,9268,SERIE-A,FIRES,AAAw+cAAhAABP4LAAu,MONEDA RENTA FIJA INTERNACIONAL FONDO DE INVERSIÓN
CFIMRVIA,9269,SERIE-A,FIRES,AAAw+cAAhAABP4OAAw,MONEDA RENTA VARIABLE INTERNACIONAL FONDO DE INVERSION
CFIMRVIB,9269,SERIE-A,FIRES,AAAw+cAAhAABP4OAAw,MONEDA RENTA VARIABLE INTERNACIONAL FONDO DE INVERSION
CFIQAC,9152,A,FIRES,AAAw+cAAhAABP4PAAZ,QUEST ACCIONES CHILE FONDO DE INVERSION
CFIQGVA,10081,A,FIRES,AAAw+cAAhAABQKFAAY,QUEST GLOBAL VALUE FONDO DE INVERSION
CFIQRGH,9336,UNICA,FIRES,AAAw+cAAhAABP4NAA9,QUEST RENTA GLOBAL HEDGE FONDO DE INVERSIÓN
CFIQRL-A,9153,A,FIRES,AAAw+cAAhAABP4OAAa,QUEST RENTA LOCAL FONDO DE INVERSIÓN
CFIQRL-B,9153,B,FIRES,AAAw+cAAhAABP4OAAa,QUEST RENTA LOCAL FONDO DE INVERSIÓN
CFIQRL-L,9153,L,FIRES,AAAw+cAAhAABP4OAAa,QUEST RENTA LOCAL FONDO DE INVERSIÓN
CFIPWPGA-E,9654,A,FINRE,AAAw+cAAhAABP4WAAU,PICTON - WPGG FONDO DE INVERSION
CFIPWPGI-E,9654,I,FINRE,AAAw+cAAhAABP4WAAU,PICTON - WPGG FONDO DE INVERSION
CFISCCH,7018,U,FIRES,AAAw+cAAhAABP4BAAs,BTG PACTUAL SMALL CAP CHILE FONDO DE INVERSION
CFISCCHI,7018,U,FIRES,AAAw+cAAhAABP4BAAs,BTG PACTUAL SMALL CAP CHILE FONDO DE INVERSION
CFIADH3I-E,9799,I,FINRE,AAAw+cAAhAABP4XAA2,FONDO DE INVERSION ACTIVA DEUDA HIPOTECARIA HABITACIONAL III
CFIADH3R,9799,R,FINRE,AAAw+cAAhAABP4XAA2,FONDO DE INVERSION ACTIVA DEUDA HIPOTECARIA HABITACIONAL III
CFIPICHL-E,9184,UNICA,FINRE,AAAw+cAAhAABP4OAAf,PICTON-HAMILTON LANE SMID FONDO DE INVERSION
CFINHRFLA,9101,A,FIRES,AAAw+cAAhAABP4JAA9,FONDO DE INVERSION NEVASA AHORRO
CFINHRFLB,9101,B,FIRES,AAAw+cAAhAABP4JAA9,FONDO DE INVERSION NEVASA AHORRO
CFINVRFLI,9101,I,FIRES,AAAw+cAAhAABP4JAA9,FONDO DE INVERSION NEVASA AHORRO
CFINVRFLNV,9101,NV,FIRES,AAAw+cAAhAABP4JAA9,FONDO DE INVERSION NEVASA AHORRO
CFINHVIS-A,9402,A,FIRES,AAAw+cAAhAABP4RAAD,FONDO DE INVERSION NEVASA VISION
CFINHVIS-B,9402,B,FIRES,AAAw+cAAhAABP4RAAD,FONDO DE INVERSION NEVASA VISION
CFIARRAA-E,9989,A,FIRES,AAAw+cAAhAABQKBAAJ,ARRAYÁN ACCIONES CHILENAS FONDO DE INVERSIÓN
CFIARRAB-E,9989,B,FIRES,AAAw+cAAhAABQKBAAJ,ARRAYÁN ACCIONES CHILENAS FONDO DE INVERSIÓN
CFIMCITI,7022,P1,FINRE,AAAw+cAAhAABP4BAAc,CHILE FONDO DE INVERSION SMALL CAP
CFIFTRLPP,9917,P,FINRE,AAAw+cAAhAABQKAAAG,FRONTAL TRUST – CORDADA RENDIMIENTO CON LIQUIDEZ FONDO DE INVERSIÓN
CFIFTRLPPI,9917,PI,FINRE,AAAw+cAAhAABQKAAAG,FRONTAL TRUST – CORDADA RENDIMIENTO CON LIQUIDEZ FONDO DE INVERSIÓN
CFIPKRE5-E,9745,UNICA,FINRE,AAAw+cAAhAABP4XAAs,PICTON - KKR EUROPE V FONDO DE INVERSION
CFIALGTA-E,9702,A,FINRE,AAAw+cAAhAABP4TAAY,AMERIS LGT CCO II FONDO DE INVERSIÓN
CFIALGTB-E,9702,B,FINRE,AAAw+cAAhAABP4TAAY,AMERIS LGT CCO II FONDO DE INVERSIÓN
CFIBRENTA,9615,UNICA,FINRE,AAAw+cAAhAABP4TAAK,BICE RENTAS INMOBILIARIAS FONDO DE INVERSIÓN
CFIETFCC,9705,UNICA,FIRES,AAAw+cAAhAABP4UAAd,FONDO DE INVERSIÓN ETF SINGULAR CHILE CORPORATIVO
CFIETFCD,9823,UNICA,FIRES,AAAw+cAAhAABP4VAAt,FONDO DE INVERSION ETF SINGULAR CHILE CORTA DURACION
CFIGC,9948,UNICA,FIRES,AAAw+cAAhAABQKAAAL,FONDO DE INVERSIÓN ETF SINGULAR GLOBAL CORPORATES
CFIETFGE,9706,UNICA,FIRES,AAAw+cAAhAABP4TAAZ,FONDO DE INVERSIÓN ETF SINGULAR GLOBAL EQUITIES
CFINASDAQ,10150,UNICA,FIRES,AAAw+cAAhAABQKHAAc,FONDO DE INVERSIÓN ETF SINGULAR NASDAQ 100
CFISP500,10218,UNICA,FIRES,AAAw+cAAhAABQKGAAl,FONDO DE INVERSIÓN ETF SINGULAR S&P 500
CFIFALCFIA,9289,A,FIRES,AAAw+cAAhAABP4NAAv,FONDO DE INVERSION FALCOM CHILEAN FIXED INCOME
CFIFALCFIG,9289,G,FIRES,AAAw+cAAhAABP4NAAv,FONDO DE INVERSION FALCOM CHILEAN FIXED INCOME
CFIFALCFIM,9289,M,FIRES,AAAw+cAAhAABP4NAAv,FONDO DE INVERSION FALCOM CHILEAN FIXED INCOME
CFIFALCFIW,9289,W,FIRES,AAAw+cAAhAABP4NAAv,FONDO DE INVERSION FALCOM CHILEAN FIXED INCOME
CFIFALCDCA,9902,A,FIRES,AAAw+cAAhAABQKGAAB,FONDO DE INVERSIÓN FALCOM DEUDA CORPORATIVA CHILE
CFIFALCDCF,9902,F,FIRES,AAAw+cAAhAABQKGAAB,FONDO DE INVERSIÓN FALCOM DEUDA CORPORATIVA CHILE
CFIFALCDCG,9902,G,FIRES,AAAw+cAAhAABQKGAAB,FONDO DE INVERSIÓN FALCOM DEUDA CORPORATIVA CHILE
